Zip,City,State,LineCode,"IndustryName
",GDP_2012
01001,Autauga,AL,1,All Industries,1383941
01001,Autauga,AL,2,  Private goods-producing industries,286396
01001,Autauga,AL,3,  Private services-providing industries,948490
01001,Autauga,AL,4,  Government and government enterprises,149055
01003,Baldwin,AL,1,All Industries,5599194
01003,Baldwin,AL,2,  Private goods-producing industries,681871
01003,Baldwin,AL,3,  Private services-providing industries,4306173
01003,Baldwin,AL,4,  Government and government enterprises,611151
01005,Barbour,AL,1,All Industries,639833
01005,Barbour,AL,2,  Private goods-producing industries,253232
01005,Barbour,AL,3,  Private services-providing industries,274894
01005,Barbour,AL,4,  Government and government enterprises,111707
01007,Bibb,AL,1,All Industries,297560
01007,Bibb,AL,2,  Private goods-producing industries,98048
01007,Bibb,AL,3,  Private services-providing industries,116767
01007,Bibb,AL,4,  Government and government enterprises,82746
01009,Blount,AL,1,All Industries,632761
01009,Blount,AL,2,  Private goods-producing industries,187947
01009,Blount,AL,3,  Private services-providing industries,310042
01009,Blount,AL,4,  Government and government enterprises,134773
01011,Bullock,AL,1,All Industries,191052
01011,Bullock,AL,2,  Private goods-producing industries,67063
01011,Bullock,AL,3,  Private services-providing industries,78889
01011,Bullock,AL,4,  Government and government enterprises,45101
01013,Butler,AL,1,All Industries,514216
01013,Butler,AL,2,  Private goods-producing industries,189427
01013,Butler,AL,3,  Private services-providing industries,263801
01013,Butler,AL,4,  Government and government enterprises,60988
01015,Calhoun,AL,1,All Industries,4073476
01015,Calhoun,AL,2,  Private goods-producing industries,1051376
01015,Calhoun,AL,3,  Private services-providing industries,1951870
01015,Calhoun,AL,4,  Government and government enterprises,1070229
01017,Chambers,AL,1,All Industries,567650
01017,Chambers,AL,2,  Private goods-producing industries,177977
01017,Chambers,AL,3,  Private services-providing industries,301425
01017,Chambers,AL,4,  Government and government enterprises,88248
01019,Cherokee,AL,1,All Industries,443582
01019,Cherokee,AL,2,  Private goods-producing industries,153006
01019,Cherokee,AL,3,  Private services-providing industries,212307
01019,Cherokee,AL,4,  Government and government enterprises,78269
01021,Chilton,AL,1,All Industries,715347
