State,State Tax Rate,Rank,Average Local Tax Rate (a),Combined Rate,Rank,Minimum Local Rate,Maximum Local Rate
Alabama,4.00%,39,4.37%,8.37%,8,0.00%,8.00%
Alaska,None,47,1.79%,1.79%,47,0.00%,7.50%
Arizona,6.60%,9,2.52%,9.12%,2,0.00%,7.13%
Arkansas,6.00%,16,2.65%,8.65%,6,0.00%,5.13%
California,7.25%,1,0.88%,8.13%,12,0.00%,2.50%
Colorado,2.90%,46,4.52%,7.42%,15,0.00%,7.50%
Connecticut,6.35%,11,None,6.35%,31,,
Delaware,None,47,None,None,48,,
Florida,6.00%,16,0.62%,6.62%,29,0.00%,1.50%
Georgia,4.00%,39,2.87%,6.87%,24,1.00%,4.00%
Hawaii,4.00%,39,0.35%,4.35%,46,0.00%,0.50%
Idaho,6.00%,16,0.02%,6.02%,36,0.00%,2.50%
Illinois,6.25%,13,1.97%,8.22%,10,0.00%,3.50%
Indiana,7.00%,2,None,7.00%,20,,
Iowa,6.00%,16,0.82%,6.82%,25,0.00%,1.00%
Kansas,6.30%,12,1.96%,8.26%,9,0.00%,3.50%
Kentucky,6.00%,16,None,6.00%,37,,
Louisiana,4.00%,39,4.86%,8.86%,3,0.00%,7.00%
Maine,5.00%,32,None,5.00%,44,,
Maryland,6.00%,16,None,6.00%,37,,
Massachusetts,6.25%,13,None,6.25%,33,,
Michigan,6.00%,16,None,6.00%,37,,
Minnesota,6.88%,7,0.30%,7.17%,17,0.00%,1.00%
Mississippi,7.00%,2,0.00%,7.00%,19,0.00%,0.25%
Missouri,4.23%,38,3.53%,7.75%,14,0.50%,5.50%
Montana,None,47,None,None,48,,
Nebraska,5.50%,29,1.27%,6.77%,27,0.00%,1.50%
Nevada,6.85%,8,1.08%,7.93%,13,0.00%,1.25%
New Hampshire,None,47,None,None,48,,
New Jersey,7.00%,2,-0.03%,6.97%,22,,
New Mexico,5.13%,31,2.12%,7.24%,16,0.38%,3.50%
New York,4.00%,39,4.48%,8.48%,7,3.00%,4.88%
North Carolina,4.75%,36,2.12%,6.87%,23,2.00%,2.50%
North Dakota,5.00%,32,1.42%,6.42%,30,0.00%,3.00%
Ohio,5.50%,29,1.30%,6.80%,26,0.75%,2.25%
Oklahoma,4.50%,37,4.18%,8.68%,5,0.25%,6.50%
Oregon,None,47,None,None,48,,
Pennsylvania,6.00%,16,0.34%,6.34%,32,0.00%,2.00%
Rhode Island,7.00%,2,None,7.00%,20,,
South Carolina,6.00%,16,1.12%,7.12%,18,0.00%,3.00%
South Dakota,4.00%,39,1.83%,5.83%,41,0.00%,2.00%
Tennessee,7.00%,2,2.43%,9.43%,1,1.50%,2.75%
Texas,6.25%,13,1.89%,8.14%,11,0.00%,2.00%
Utah,5.95%,28,0.73%,6.68%,28,0.00%,2.00%
Vermont,6.00%,16,0.14%,6.14%,34,0.00%,1.00%
Virginia,5.00%,32,None,5.00%,44,,
Washington,6.50%,10,2.33%,8.83%,4,0.50%,3.00%
West Virginia,6.00%,16,0.04%,6.04%,35,0.00%,1.00%
Wisconsin,5.00%,32,0.43%,5.43%,42,0.00%,1.50%
Wyoming,4.00%,39,1.18%,5.18%,43,0.00%,2.00%
District of Columbia,6.00%,16,None,6.00%,37,,
