zipcode,unemp_rate
36003,6.9
36006,6.9
36067,6.9
36066,6.9
36703,6.9
36701,6.9
36091,6.9
36051,6.9
36068,6.9
36008,6.9
36022,6.9
36749,6.9
36758,6.9
36550,7.5
36551,7.5
36527,7.5
36577,7.5
36559,7.5
36536,7.5
36576,7.5
36579,7.5
36502,7.5
36578,7.5
36533,7.5
36564,7.5
36561,7.5
36580,7.5
36535,7.5
36547,7.5
36549,7.5
36530,7.5
36562,7.5
36532,7.5
36526,7.5
36555,7.5
36511,7.5
36567,7.5
36574,7.5
36480,7.5
36507,7.5
36542,7.5
36017,11.5
36016,11.5
36311,11.5
36374,11.5
36048,11.5
36053,11.5
36317,11.5
36027,11.5
36072,11.5
35035,8.5
35034,8.5
36750,8.5
35115,8.5
35188,8.5
36793,8.5
35074,8.5
35042,8.5
35111,8.5
35184,8.5
36792,8.5
35456,8.5
35031,6.9
35121,6.9
35063,6.9
35016,6.9
35079,6.9
35097,6.9
35133,6.9
35957,6.9
35126,6.9
35049,6.9
35172,6.9
35952,6.9
35180,6.9
35146,6.9
35976,6.9
35980,6.9
35013,6.9
36830,10.4
36031,10.4
36089,10.4
36029,10.4
36081,10.4
36860,10.4
36053,10.4
36005,10.4
36052,10.4
36037,11.5
36033,11.5
36032,11.5
36456,11.5
36474,11.5
36030,11.5
36042,11.5
36071,11.5
36015,11.5
36206,8.9
36204,8.9
35096,8.9
36279,8.9
36205,8.9
36260,8.9
36271,8.9
36272,8.9
36201,8.9
36203,8.9
36207,8.9
36265,8.9
36202,8.9
36257,8.9
36253,8.9
36254,8.9
35905,8.9
36250,8.9
36277,8.9
36852,9.9
36855,9.9
36879,9.9
36274,9.9
36862,9.9
36863,9.9
36801,9.9
36854,9.9
36276,9.9
36850,9.9
35973,8.0
35959,8.0
35901,8.0
35984,8.0
36272,8.0
35967,8.0
35961,8.0
35903,8.0
36275,8.0
35960,8.0
35983,8.0
36006,7.2
35115,7.2
35040,7.2
36790,7.2
36758,7.2
36793,7.2
36750,7.2
36051,7.2
35046,7.2
35045,7.2
35171,7.2
36792,7.2
35085,7.2
36091,7.2
36908,10.3
36913,10.3
36919,10.3
36921,10.3
36904,10.3
36912,10.3
36910,10.3
36916,10.3
36922,10.3
36558,10.3
36915,10.3
36436,15.0
36751,15.0
36446,15.0
36524,15.0
36784,15.0
36451,15.0
36540,15.0
36482,15.0
36727,15.0
36782,15.0
36545,15.0
36251,9.4
36267,9.4
35082,9.4
35160,9.4
35072,9.4
35089,9.4
36266,9.4
36255,9.4
36256,9.4
36258,9.4
36276,9.4
36268,9.4
36273,8.2
36269,8.2
36207,8.2
36268,8.2
36258,8.2
36262,8.2
36261,8.2
36264,8.2
36272,8.2
36322,7.0
36453,7.0
36079,7.0
36351,7.0
36477,7.0
36346,7.0
36311,7.0
36010,7.0
36318,7.0
36034,7.0
36316,7.0
36009,7.0
36330,7.0
36323,7.0
36467,7.0
36360,7.0
35616,8.8
35654,8.8
35646,8.8
35653,8.8
35582,8.8
35674,8.8
35661,8.8
35672,8.8
35660,8.8
36471,11.9
36330,11.9
36426,11.9
36454,11.9
36460,11.9
36401,11.9
